"week_mon_day","start_date","end_date","page_type","enq_generated","enq_gen_sender","enq_approved","enq_app_sender","wa_generated","wa_gen_sender","wa_approved","wa_app_sender","bl_generated","bl_gen_sender","bl_approved","bl_app_sender","c2c_calls","c2c_callers","unq_sender","unq_sender_no_call","intent_user_approved","intent_bl_generated","pns_calls","product_listing_click","inline_bl_cta_clicks","getquote_onpage_cta_click","minibl_cta_click","featcat_bl_click","thirdpv_cta_click","sixthpv_cta_click","get_best_price_click","price_on_request_click","ask_for_clicks","recom_enquiry_click","listing_wa_cta_clicks","recom_wa_click","inline_call_cta_clicks","recom_call_click","recom_category_click","recom_product_click","video_visible","video_autoplay","video_clicks","usermode","source","bl_gen_with_wa","bl_wa_gen_sender","bl_wa_approved","bl_wa_app_sender"
d,"2026-03-26","2026-03-26","5",3,3,3,3,0,0,0,0,93,93,73,73,204,53,129,76,11,80,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","3","27","27","26","26"
d,"2026-03-26","2026-03-26","4",647,620,624,602,547,522,528,507,642,617,520,520,1866,1216,1878,677,14,64,1866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","2","543","518","454","454"
d,"2026-03-26","2026-03-26","6",54,54,52,52,25,25,25,25,30,30,27,27,113,71,121,55,155,893,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","2","25","25","23","23"
d,"2026-03-26","2026-03-26","3",1313,1123,1257,1106,74,73,73,72,550,515,334,334,8024,3903,4915,1372,68,383,8024,14071,571,40,4,34,0,0,932,311,27,1,0,0,6937,81,175,0,1,0,2,"3","1","88","87","58","58"
d,"2026-03-26","2026-03-26","2",345,315,337,310,0,0,0,0,32,30,23,23,1194,861,1101,332,23,129,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3","4","0","0","0","0"
d,"2026-03-26","2026-03-26","6",22,20,21,19,0,0,0,0,6,6,4,4,49,34,51,22,139,820,49,283,4,1,0,0,0,0,29,1,0,0,0,0,0,0,0,0,48,69,4,"3","1","0","0","0","0"
d,"2026-03-26","2026-03-26","1",2677,2562,2575,2486,2226,2131,2147,2076,2657,2558,2207,2207,6991,4382,7155,2844,45,234,6991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","2","2223","2129","1889","1889"
d,"2026-03-26","2026-03-26","1",4,4,4,4,0,0,0,0,106,106,84,84,223,58,146,88,12,84,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","3","32","32","30","30"
d,"2026-03-26","2026-03-26","1",343,335,330,326,281,275,270,268,463,457,382,382,648,362,825,466,16,91,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","5","277","271","249","249"
d,"2026-03-26","2026-03-26","1",1680,1463,1615,1434,72,71,71,70,476,457,309,309,8292,4292,5629,1678,84,493,8292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3","2","84","83","56","56"
d,"2026-03-26","2026-03-26","2",161,129,143,120,45,41,39,36,142,131,86,86,275,170,325,173,13,77,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","6","46","42","36","36"
d,"2026-03-26","2026-03-26","5",218,200,214,196,0,0,0,0,20,20,10,10,426,322,466,204,4,27,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","0","0","0","0"
d,"2026-03-26","2026-03-26","4",439,335,383,321,1,1,0,0,90,87,40,40,792,482,792,360,6,36,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","2","1","1","0","0"
d,"2026-03-26","2026-03-26","5",7,7,7,7,0,0,0,0,4,4,2,2,23,18,25,9,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3","3","0","0","0","0"
d,"2026-03-26","2026-03-26","5",2495,2338,2402,2278,2029,1958,1972,1917,3301,3182,2590,2590,2098,1164,4170,3126,182,909,2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","6","2024","1951","1776","1776"
d,"2026-03-26","2026-03-26","5",845,756,832,747,0,0,0,0,446,439,328,328,5404,2525,3398,1065,79,723,5404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","4","0","0","0","0"
d,"2026-03-26","2026-03-26","3",16,14,15,13,0,0,0,0,2,2,2,2,26,21,31,15,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","0","0","0","0"
d,"2026-03-26","2026-03-26","4",678,473,549,456,11,10,9,8,145,138,70,70,1110,677,1089,515,9,71,1110,5514,180,24,19,0,0,0,420,85,5,0,0,5,1078,5,0,0,227,281,15,"4","1","12","11","8","8"
d,"2026-03-26","2026-03-26","3",72,67,70,65,0,0,0,0,31,31,24,24,308,150,218,87,5,19,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","4","0","0","0","0"
d,"2026-03-26","2026-03-26","4",2349,1940,2162,1890,1005,958,968,934,1474,1387,1138,1138,6619,3310,5120,2182,69,688,6619,34977,1545,164,111,0,0,0,1033,705,40,1,1865,16,6058,27,0,46,2322,3223,135,"1","1","1002","955","844","844"
